Date,EOD/V - Open,EOD/V - Close
2010-02-16,85.23,85.88
2010-02-17,86.01,86.42
2010-02-18,86.0,86.96
2010-02-19,86.0,86.81
2010-02-22,87.05,86.91
2010-02-23,87.02,86.12
2010-02-24,86.22,85.63
2010-02-25,84.75,85.23
2010-02-26,85.58,85.28
2010-03-01,85.5,86.82
2010-03-02,86.82,86.45
2010-03-03,86.6,86.8
2010-03-04,86.8,87.04
2010-03-05,87.4,88.51
2010-03-08,88.45,90.63
2010-03-09,90.25,90.15
2010-03-10,89.74,91.52
2010-03-11,90.97,92.74
2010-03-12,93.17,93.25
2010-03-15,92.87,92.41
2010-03-16,92.68,91.65
2010-03-17,92.12,91.51
2010-03-18,91.5,90.13
2010-03-19,90.52,88.84
2010-03-22,88.39,89.24
2010-03-23,89.5,89.98
2010-03-24,89.6,88.75
2010-03-25,89.68,90.41
2010-03-26,90.73,90.25
2010-03-29,90.57,90.24
2010-03-30,90.47,91.0
2010-03-31,90.7,91.03
2010-04-01,91.68,92.55
2010-04-05,93.05,92.47
2010-04-06,92.03,92.4
2010-04-07,92.5,90.71
2010-04-08,90.66,91.49
2010-04-09,91.94,92.52
2010-04-12,93.05,93.19
2010-04-13,93.41,92.79
2010-04-14,93.16,94.26
2010-04-15,94.355,94.45
2010-04-16,94.08,93.85
2010-04-19,93.2,93.12
2010-04-20,93.65,94.05
2010-04-21,94.35,93.13
2010-04-22,92.82,95.14
2010-04-23,96.2,96.59
2010-04-26,97.03,96.0
2010-04-27,95.95,92.95
2010-04-28,93.72,93.61
2010-04-29,93.77,92.82
2010-04-30,93.28,90.23
2010-05-03,90.55,89.27
2010-05-04,89.34,88.37
2010-05-05,86.76,86.43
2010-05-06,85.85,82.92
2010-05-07,83.06,82.29
2010-05-10,86.25,85.99
2010-05-11,85.13,84.16
2010-05-12,85.04,85.68
2010-05-13,85.88,85.73
2010-05-14,78.67,77.26
2010-05-17,78.77,74.71
2010-05-18,75.08,70.09
2010-05-19,70.71,72.97
2010-05-20,72.0,72.82
2010-05-21,72.01,74.2
2010-05-24,75.44,74.55
2010-05-25,73.06,72.97
2010-05-26,74.14,73.4
2010-05-27,75.0,73.69
2010-05-28,73.37,72.46
2010-06-01,72.49,71.49
2010-06-02,71.46,71.25
2010-06-03,71.93,72.84
2010-06-04,71.05,72.13
2010-06-07,72.0,71.89
2010-06-08,72.11,73.35
2010-06-09,74.12,73.8
2010-06-10,75.63,77.45
2010-06-11,76.51,76.08
2010-06-14,76.95,73.78
2010-06-15,74.47,76.93
2010-06-16,76.18,77.17
2010-06-17,77.81,78.24
2010-06-18,78.51,77.04
